PO_ID,PO_Date,SupplierID,SupplierName,MaterialID,MaterialName,Category,UnitOfMeasure,OrderQuantity,UnitCost_INR,BaseCost_INR,GST_Rate_Percent,GST_Amount_INR,FreightCost_INR,TotalPOValue_INR,PromisedLeadTimeDays,ExpectedDeliveryDate,ActualDeliveryDate,DelayDays,DeliveryStatus,PaymentTermsDays
PO-2020-0136,2020-09-05,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,163.5,97.66,15967.41,18,2874.13,2205.79,21047.33,10,2020-09-15,2020-09-17,2,Delayed,60
PO-2020-0137,2020-09-05,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,336.2,178.36,59964.63,5,2998.23,2149.95,65112.81,30,2020-10-05,2020-10-05,0,On-Time,30
PO-2020-0138,2020-09-06,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,8388.0,3.48,29190.24,18,5254.24,1370.26,35814.74,10,2020-09-16,2020-09-16,0,On-Time,15
PO-2020-0139,2020-09-09,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,28.7,1111.29,31894.02,12,3827.28,961.58,36682.88,19,2020-09-28,2020-09-28,0,On-Time,45
PO-2020-0140,2020-09-09,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,10831.0,4.88,52855.28,18,9513.95,834.75,63203.98,9,2020-09-18,2020-09-18,0,On-Time,15
PO-2020-0141,2020-09-11,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1644.0,23.72,38995.68,18,7019.22,1974.95,47989.85,6,2020-09-17,2020-09-17,0,On-Time,15
PO-2020-0142,2020-09-12,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,12403.0,0.99,12278.97,18,2210.21,460.85,14950.03,9,2020-09-21,2020-09-21,0,On-Time,15
PO-2020-0143,2020-09-15,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,401.4,246.19,98820.67,5,4941.03,2301.29,106062.99,31,2020-10-16,2020-10-16,0,On-Time,30
PO-2020-0144,2020-09-15,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,256.0,206.66,52904.96,5,2645.25,1826.15,57376.36,33,2020-10-18,2020-10-18,0,On-Time,30
PO-2020-0145,2020-09-15,SUP004,Girnar Ayur Ingredients,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,66.7,1263.68,84287.46,12,10114.5,1238.58,95640.54,27,2020-10-12,2020-10-12,0,On-Time,45
PO-2020-0146,2020-09-16,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,9246.0,3.38,31251.48,18,5625.27,1541.89,38418.64,9,2020-09-25,2020-09-26,1,Delayed,15
PO-2020-0147,2020-09-16,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,39.6,1028.85,40742.46,12,4889.1,1708.08,47339.64,20,2020-10-06,2020-10-06,0,On-Time,45
PO-2020-0148,2020-09-17,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,40.0,364.35,14574.0,12,1748.88,985.89,17308.77,17,2020-10-04,2020-10-10,6,Delayed,45
PO-2020-0149,2020-09-17,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,54.2,1874.2,101581.64,12,12189.8,1106.16,114877.6,24,2020-10-11,2020-10-11,0,On-Time,45
PO-2020-0150,2020-09-18,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,36.6,1170.95,42856.77,12,5142.81,1708.82,49708.4,21,2020-10-09,2020-10-09,0,On-Time,45
PO-2020-0151,2020-09-19,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,49.1,210.95,10357.65,18,1864.38,1166.83,13388.86,11,2020-09-30,2020-09-30,0,On-Time,60
PO-2020-0152,2020-09-20,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,10909.0,4.68,51054.12,18,9189.74,844.44,61088.3,7,2020-09-27,2020-09-27,0,On-Time,15
PO-2020-0153,2020-09-20,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,241.7,192.88,46619.1,5,2330.95,1612.8,50562.85,33,2020-10-23,2020-10-23,0,On-Time,30
PO-2020-0154,2020-09-22,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,375.9,183.33,68913.75,5,3445.69,2223.43,74582.87,30,2020-10-22,2020-10-22,0,On-Time,30
PO-2020-0155,2020-09-23,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,195.0,122.4,23868.0,18,4296.24,2326.99,30491.23,14,2020-10-07,2020-10-07,0,On-Time,60
PO-2020-0156,2020-09-24,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,13384.0,1.01,13517.84,18,2433.21,430.66,16381.71,6,2020-09-30,2020-09-30,0,On-Time,15
PO-2020-0157,2020-09-26,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1450.0,24.78,35931.0,18,6467.58,1667.41,44065.99,9,2020-10-05,2020-10-05,0,On-Time,15
PO-2020-0158,2020-09-27,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,9907.0,3.53,34971.71,18,6294.91,1640.85,42907.47,9,2020-10-06,2020-10-09,3,Delayed,15
PO-2020-0159,2020-09-28,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,162.9,97.43,15871.35,18,2856.84,2130.13,20858.32,12,2020-10-10,2020-10-10,0,On-Time,60
PO-2020-0160,2020-09-30,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,30.2,1043.08,31501.02,12,3780.12,1084.7,36365.84,17,2020-10-17,2020-10-17,0,On-Time,45
PO-2020-0161,2020-09-30,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,263.5,206.45,54399.57,5,2719.98,1648.33,58767.88,34,2020-11-03,2020-11-03,0,On-Time,30
PO-2020-0162,2020-10-01,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,550.4,245.38,135057.15,5,6752.86,3163.96,144973.97,19,2020-10-20,2020-10-20,0,On-Time,30
PO-2020-0163,2020-10-02,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,12052.0,4.64,55921.28,18,10065.83,957.57,66944.68,7,2020-10-09,2020-10-09,0,On-Time,15
PO-2020-0164,2020-10-04,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,15934.0,0.99,15774.66,18,2839.44,465.15,19079.25,9,2020-10-13,2020-10-13,0,On-Time,15
PO-2020-0165,2020-10-07,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,308.8,192.35,59397.68,5,2969.88,2042.6,64410.16,23,2020-10-30,2020-10-30,0,On-Time,30
PO-2020-0166,2020-10-07,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,89.8,1303.69,117071.36,12,14048.56,2182.08,133302.0,13,2020-10-20,2020-10-20,0,On-Time,45
PO-2020-0167,2020-10-08,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,10406.0,3.56,37045.36,18,6668.16,1614.66,45328.18,8,2020-10-16,2020-10-16,0,On-Time,15
PO-2020-0168,2020-10-08,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,52.0,351.95,18301.4,12,2196.17,1170.97,21668.54,16,2020-10-24,2020-10-23,-1,Early,45
PO-2020-0169,2020-10-08,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,66.0,1937.03,127843.98,12,15341.28,1268.2,144453.46,12,2020-10-20,2020-10-20,0,On-Time,45
PO-2020-0170,2020-10-09,SUP002,Vindhya Botanicals,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,404.4,180.77,73103.39,5,3655.17,2600.76,79359.32,18,2020-10-27,2020-10-27,0,On-Time,30
PO-2020-0171,2020-10-09,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,49.2,1032.2,50784.24,12,6094.11,1704.78,58583.13,20,2020-10-29,2020-10-29,0,On-Time,45
PO-2020-0172,2020-10-09,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1722.0,24.0,41328.0,18,7439.04,2018.95,50785.99,9,2020-10-18,2020-10-18,0,On-Time,15
PO-2020-0173,2020-10-11,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,63.6,220.91,14049.88,18,2528.98,1209.09,17787.95,12,2020-10-23,2020-10-25,2,Delayed,60
PO-2020-0174,2020-10-12,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,12042.0,4.73,56958.66,18,10252.56,881.98,68093.2,7,2020-10-19,2020-10-19,0,On-Time,15
PO-2020-0175,2020-10-12,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,226.1,124.71,28196.93,18,5075.45,2523.29,35795.67,12,2020-10-24,2020-10-24,0,On-Time,60
PO-2020-0176,2020-10-13,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,17564.0,1.0,17564.0,18,3161.52,490.22,21215.74,8,2020-10-21,2020-10-21,0,On-Time,15
PO-2020-0177,2020-10-15,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,42.3,1162.18,49160.21,12,5899.23,1528.32,56587.76,19,2020-11-03,2020-11-13,10,Delayed,45
PO-2020-0178,2020-10-16,SUP002,Vindhya Botanicals,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,535.7,233.37,125016.31,5,6250.82,3298.63,134565.76,19,2020-11-04,2020-11-04,0,On-Time,30
PO-2020-0179,2020-10-17,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,335.2,214.98,72061.3,5,3603.07,2148.04,77812.41,18,2020-11-04,2020-11-03,-1,Early,30
PO-2020-0180,2020-10-18,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,192.5,98.09,18882.33,18,3398.82,2406.29,24687.44,11,2020-10-29,2020-10-31,2,Delayed,60
PO-2020-0181,2020-10-19,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,10754.0,3.37,36240.98,18,6523.38,1630.51,44394.87,8,2020-10-27,2020-10-27,0,On-Time,15
PO-2020-0182,2020-10-20,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,12084.0,4.67,56432.28,18,10157.81,907.19,67497.28,10,2020-10-30,2020-10-30,0,On-Time,15
PO-2020-0183,2020-10-20,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,278.3,201.75,56147.03,5,2807.35,1911.38,60865.76,22,2020-11-11,2020-11-11,0,On-Time,30
PO-2020-0184,2020-10-21,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1860.0,24.77,46072.2,18,8293.0,2030.22,56395.42,7,2020-10-28,2020-10-28,0,On-Time,15
PO-2020-0185,2020-10-22,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,488.3,178.5,87161.55,5,4358.08,2723.23,94242.86,17,2020-11-08,2020-11-08,0,On-Time,30
PO-2020-0186,2020-10-22,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,17922.0,1.03,18459.66,18,3322.74,460.49,22242.89,8,2020-10-30,2020-10-30,0,On-Time,15
PO-2020-0187,2020-10-24,SUP004,Girnar Ayur Ingredients,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,80.9,1239.42,100269.08,12,12032.29,1331.99,113633.36,16,2020-11-09,2020-11-09,0,On-Time,45
PO-2020-0188,2020-10-24,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,47.0,362.1,17018.7,12,2042.24,1034.12,20095.06,14,2020-11-07,2020-11-07,0,On-Time,45
PO-2020-0189,2020-10-25,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,38.9,1040.89,40490.62,12,4858.87,1152.45,46501.94,19,2020-11-13,2020-11-16,3,Delayed,45
PO-2020-0190,2020-10-27,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,43.8,1021.29,44732.5,12,5367.9,1705.16,51805.56,18,2020-11-14,2020-11-14,0,On-Time,45
PO-2020-0191,2020-10-27,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,61.1,1874.34,114522.17,12,13742.66,1207.89,129472.72,12,2020-11-08,2020-11-14,6,Delayed,45
PO-2020-0192,2020-10-29,SUP002,Vindhya Botanicals,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,520.6,245.02,127557.41,5,6377.87,2863.72,136799.0,19,2020-11-17,2020-11-17,0,On-Time,30
PO-2020-0193,2020-10-30,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,13370.0,4.63,61903.1,18,11142.56,925.16,73970.82,8,2020-11-07,2020-11-07,0,On-Time,15
PO-2020-0194,2020-10-30,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,10180.0,3.5,35630.0,18,6413.4,1673.18,43716.58,10,2020-11-09,2020-11-09,0,On-Time,15
PO-2020-0195,2020-10-31,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,275.9,215.34,59412.31,5,2970.62,1954.05,64336.98,20,2020-11-20,2020-11-20,0,On-Time,30
PO-2020-0196,2020-10-31,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,15189.0,1.02,15492.78,18,2788.7,463.3,18744.78,8,2020-11-08,2020-11-08,0,On-Time,15
PO-2020-0197,2020-10-31,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,220.7,120.37,26565.66,18,4781.82,2361.29,33708.77,13,2020-11-13,2020-11-13,0,On-Time,60
PO-2020-0198,2020-11-01,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,38.6,1161.07,44817.3,12,5378.08,1701.75,51897.13,21,2020-11-22,2020-11-22,0,On-Time,45
PO-2020-0199,2020-11-01,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,2017.0,23.75,47903.75,18,8622.67,2326.43,58852.85,7,2020-11-08,2020-11-08,0,On-Time,15
PO-2020-0200,2020-11-01,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,62.2,205.57,12786.45,18,2301.56,1337.89,16425.9,13,2020-11-14,2020-11-14,0,On-Time,60
PO-2020-0201,2020-11-02,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,296.6,193.05,57258.63,5,2862.93,2076.16,62197.72,19,2020-11-21,2020-11-21,0,On-Time,30
PO-2020-0202,2020-11-04,SUP002,Vindhya Botanicals,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,426.3,183.88,78388.04,5,3919.4,2420.29,84727.73,16,2020-11-20,2020-11-24,4,Delayed,30
PO-2020-0203,2020-11-05,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,169.1,95.62,16169.34,18,2910.48,1951.29,21031.11,10,2020-11-15,2020-11-14,-1,Early,60
PO-2020-0204,2020-11-07,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,12811.0,4.59,58802.49,18,10584.45,994.15,70381.09,7,2020-11-14,2020-11-15,1,Delayed,15
PO-2020-0205,2020-11-08,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,77.1,1255.05,96764.35,12,11611.72,1946.82,110322.89,14,2020-11-22,2020-11-22,0,On-Time,45
PO-2020-0206,2020-11-08,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,16916.0,0.97,16408.52,18,2953.53,479.45,19841.5,6,2020-11-14,2020-11-14,0,On-Time,15
PO-2020-0207,2020-11-08,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,12137.0,3.51,42600.87,18,7668.16,1755.23,52024.26,10,2020-11-18,2020-11-18,0,On-Time,15
PO-2020-0208,2020-11-10,SUP002,Vindhya Botanicals,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,464.6,232.74,108131.0,5,5406.55,2577.0,116114.55,21,2020-12-01,2020-12-01,0,On-Time,30
PO-2020-0209,2020-11-11,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,52.0,363.4,18896.8,12,2267.62,1171.07,22335.49,14,2020-11-25,2020-11-25,0,On-Time,45
PO-2020-0210,2020-11-12,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1783.0,25.52,45502.16,18,8190.39,1950.28,55642.83,10,2020-11-22,2020-11-22,0,On-Time,15
PO-2020-0211,2020-11-13,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,297.9,211.82,63101.18,5,3155.06,1908.56,68164.8,19,2020-12-02,2020-12-03,1,Delayed,30
PO-2020-0212,2020-11-14,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,37.8,1071.34,40496.65,12,4859.6,1059.56,46415.81,19,2020-12-03,2020-12-03,0,On-Time,45
PO-2020-0213,2020-11-15,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,57.8,1963.98,113518.04,12,13622.16,1229.13,128369.33,14,2020-11-29,2020-11-28,-1,Early,45
PO-2020-0214,2020-11-16,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,15198.0,1.01,15349.98,18,2763.0,474.92,18587.9,5,2020-11-21,2020-11-21,0,On-Time,15
PO-2020-0215,2020-11-16,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,13257.0,4.74,62838.18,18,11310.87,993.72,75142.77,7,2020-11-23,2020-11-23,0,On-Time,15
PO-2020-0216,2020-11-16,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,47.3,1052.15,49766.69,12,5972.0,1809.56,57548.25,19,2020-12-05,2020-12-05,0,On-Time,45
PO-2020-0217,2020-11-16,SUP002,Vindhya Botanicals,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,439.9,181.54,79859.45,5,3992.97,2664.8,86517.22,16,2020-12-02,2020-12-06,4,Delayed,30
PO-2020-0218,2020-11-16,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,321.8,203.92,65621.46,5,3281.07,1942.23,70844.76,19,2020-12-05,2020-12-05,0,On-Time,30
PO-2020-0219,2020-11-18,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,11180.0,3.58,40024.4,18,7204.39,1675.11,48903.9,7,2020-11-25,2020-11-25,0,On-Time,15
PO-2020-0220,2020-11-19,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,239.8,122.81,29449.84,18,5300.97,2589.3,37340.11,12,2020-12-01,2020-12-01,0,On-Time,60
PO-2020-0221,2020-11-19,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,40.9,1192.29,48764.66,12,5851.76,1700.35,56316.77,20,2020-12-09,2020-12-09,0,On-Time,45
PO-2020-0222,2020-11-21,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,58.7,217.15,12746.71,18,2294.41,1233.4,16274.52,10,2020-12-01,2020-12-01,0,On-Time,60
PO-2020-0223,2020-11-24,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,74.8,1262.06,94402.09,12,11328.25,2050.38,107780.72,14,2020-12-08,2020-12-06,-2,Early,45
PO-2020-0224,2020-11-24,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,193.8,92.72,17969.14,18,3234.45,2350.82,23554.41,9,2020-12-03,2020-12-01,-2,Early,60
PO-2020-0225,2020-11-24,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,483.7,243.68,117868.02,5,5893.4,2928.51,126689.93,21,2020-12-15,2020-12-13,-2,Early,30
PO-2020-0226,2020-11-24,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1963.0,24.28,47661.64,18,8579.1,2236.72,58477.46,9,2020-12-03,2020-12-02,-1,Early,15
PO-2020-0227,2020-11-25,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,17991.0,0.98,17631.18,18,3173.61,516.68,21321.47,8,2020-12-03,2020-12-03,0,On-Time,15
PO-2020-0228,2020-11-25,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,13131.0,4.54,59614.74,18,10730.65,1005.79,71351.18,7,2020-12-02,2020-12-02,0,On-Time,15
PO-2020-0229,2020-11-27,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,301.6,206.05,62144.68,5,3107.23,1901.67,67153.58,18,2020-12-15,2020-12-15,0,On-Time,30
PO-2020-0230,2020-11-27,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,52.0,351.11,18257.72,12,2190.93,1195.81,21644.46,13,2020-12-10,2020-12-09,-1,Early,45
PO-2020-0231,2020-11-27,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,11646.0,3.59,41809.14,18,7525.65,1803.13,51137.92,9,2020-12-06,2020-12-06,0,On-Time,15
PO-2020-0232,2020-11-28,SUP002,Vindhya Botanicals,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,418.0,186.79,78078.22,5,3903.91,2360.34,84342.47,18,2020-12-16,2020-12-16,0,On-Time,30
PO-2020-0233,2020-11-30,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,56.0,1927.47,107938.32,12,12952.6,1129.85,122020.77,11,2020-12-11,2020-12-11,0,On-Time,45
PO-2020-0234,2020-12-02,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,291.7,195.57,57047.77,5,2852.39,1769.11,61669.27,19,2020-12-21,2020-12-21,0,On-Time,30
PO-2020-0235,2020-12-03,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,12866.0,4.75,61113.5,18,11000.43,1021.66,73135.59,7,2020-12-10,2020-12-10,0,On-Time,15
PO-2020-0236,2020-12-04,SUP003,Himalayan Herb Extracts,RM009,Triphala Extract,Herbal Extracts,kg,46.9,1035.43,48561.67,12,5827.4,1784.52,56173.59,19,2020-12-23,2020-12-23,0,On-Time,45
PO-2020-0237,2020-12-04,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,16605.0,1.04,17269.2,18,3108.46,465.88,20843.54,8,2020-12-12,2020-12-15,3,Delayed,15
PO-2020-0238,2020-12-05,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1958.0,24.38,47736.04,18,8592.49,2287.91,58616.44,7,2020-12-12,2020-12-12,0,On-Time,15
PO-2020-0239,2020-12-06,SUP003,Himalayan Herb Extracts,RM006,Brahmi Extract,Herbal Extracts,kg,41.6,1179.85,49081.76,12,5889.81,1650.26,56621.83,22,2020-12-28,2020-12-27,-1,Early,45
PO-2020-0240,2020-12-06,SUP004,Girnar Ayur Ingredients,RM007,Shatavari Extract,Herbal Extracts,kg,39.8,1058.07,42111.19,12,5053.34,1161.91,48326.44,17,2020-12-23,2020-12-23,0,On-Time,45
PO-2020-0241,2020-12-08,SUP008,Malwa Print & Cartons,RM016,Printed Cartons (units),Packaging,units,10454.0,3.4,35543.6,18,6397.85,1762.44,43703.89,9,2020-12-17,2020-12-17,0,On-Time,15
PO-2020-0242,2020-12-08,SUP001,Madhya Herbs Pvt Ltd,RM001,Ashwagandha Root (Dried),Raw Herbs,kg,498.1,237.67,118383.43,5,5919.17,2976.37,127278.97,22,2020-12-30,2020-12-30,0,On-Time,30
PO-2020-0243,2020-12-08,SUP005,Chemico Excipients Ltd,RM010,Microcrystalline Cellulose (MCC),Excipients,kg,269.3,123.23,33185.84,18,5973.45,3056.69,42215.98,12,2020-12-20,2020-12-20,0,On-Time,60
PO-2020-0244,2020-12-09,SUP001,Madhya Herbs Pvt Ltd,RM002,Tulsi Leaves (Dried),Raw Herbs,kg,414.9,183.56,76159.04,5,3807.95,2426.92,82393.91,19,2020-12-28,2020-12-28,0,On-Time,30
PO-2020-0245,2020-12-09,SUP003,Himalayan Herb Extracts,RM005,Ashwagandha Extract (5% Withanolides),Herbal Extracts,kg,77.9,1236.93,96356.85,12,11562.82,2204.07,110123.74,16,2020-12-25,2021-01-04,10,Delayed,45
PO-2020-0246,2020-12-10,SUP005,Chemico Excipients Ltd,RM011,Magnesium Stearate,Excipients,kg,61.2,214.91,13152.49,18,2367.45,1311.29,16831.23,13,2020-12-23,2020-12-21,-2,Early,60
PO-2020-0247,2020-12-10,SUP002,Vindhya Botanicals,RM003,Amla Fruit (Dried),Raw Herbs,kg,337.3,203.55,68657.42,5,3432.87,1973.96,74064.25,19,2020-12-29,2020-12-29,0,On-Time,30
PO-2020-0248,2020-12-11,SUP007,Indore Packaging Solutions,RM015,HDPE Bottles 100ml (units),Packaging,units,12105.0,4.66,56409.3,18,10153.67,928.01,67490.98,6,2020-12-17,2020-12-17,0,On-Time,15
PO-2020-0249,2020-12-12,SUP005,Chemico Excipients Ltd,RM012,Maize Starch,Excipients,kg,190.4,97.56,18575.42,18,3343.58,2286.49,24205.49,11,2020-12-23,2020-12-26,3,Delayed,60
PO-2020-0250,2020-12-13,SUP006,Capsico Gelatin & Capsules,RM013,"Gelatin Capsules (Size 00, '000s)",Capsules,'000 units,54.0,345.56,18660.24,12,2239.23,1163.3,22062.77,14,2020-12-27,2020-12-25,-2,Early,45
PO-2020-0251,2020-12-14,SUP008,Malwa Print & Cartons,RM017,Product Labels (units),Packaging,units,17749.0,0.98,17394.02,18,3130.92,511.75,21036.69,6,2020-12-20,2020-12-20,0,On-Time,15
PO-2020-0252,2020-12-15,SUP001,Madhya Herbs Pvt Ltd,RM004,Giloy Stem (Dried),Raw Herbs,kg,340.1,192.57,65493.06,5,3274.65,2207.89,70975.6,21,2021-01-05,2021-01-04,-1,Early,30
PO-2020-0253,2020-12-15,SUP004,Girnar Ayur Ingredients,RM008,Turmeric Curcumin Extract (95%),Herbal Extracts,kg,60.4,1951.46,117868.18,12,14144.18,1158.34,133170.7,11,2020-12-26,2020-12-26,0,On-Time,45
PO-2020-0254,2020-12-15,SUP007,Indore Packaging Solutions,RM018,Corrugated Shipping Boxes (units),Packaging,units,1930.0,24.44,47169.2,18,8490.46,2318.55,57978.21,8,2020-12-23,2020-12-21,-2,Early,15
